id,title,difficulty,free/premium,frequency,tags
322,Coin Change,MEDIUM,free,100.0,"Array, Dynamic Programming, Breadth-First Search"
819,Most Common Word,EASY,free,85.5,"Array, Hash Table, String, Counting"
559,Maximum Depth of N-ary Tree,EASY,free,83.7,"Tree, Depth-First Search, Breadth-First Search"
622,Design Circular Queue,MEDIUM,free,83.7,"Array, Linked List, Design, Queue"
1229,Meeting Scheduler,MEDIUM,premium,79.8,"Array, Two Pointers, Sorting"
408,Valid Word Abbreviation,EASY,premium,74.8,"Two Pointers, String"
480,Sliding Window Median,HARD,free,68.1,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
124,Binary Tree Maximum Path Sum,HARD,free,63.7,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
211,Design Add and Search Words Data Structure,MEDIUM,free,63.7,"String, Depth-First Search, Design, Trie"
568,Maximum Vacation Days,HARD,premium,63.7,"Array, Dynamic Programming, Matrix"
1232,Check If It Is a Straight Line,EASY,free,58.1,"Array, Math, Geometry"
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,MEDIUM,free,58.1,"Array, Hash Table, String"
1160,Find Words That Can Be Formed by Characters,EASY,free,50.1,"Array, Hash Table, String, Counting"
1038,Binary Search Tree to Greater Sum Tree,MEDIUM,free,50.1,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
1071,Greatest Common Divisor of Strings,EASY,free,50.1,"Math, String"
1207,Unique Number of Occurrences,EASY,free,50.1,"Array, Hash Table"
2451,Odd String Difference,EASY,free,50.1,"Array, Hash Table, String"
