id,title,difficulty,free/premium,frequency,tags
56,Merge Intervals,MEDIUM,free,100.0,"Array, Sorting"
41,First Missing Positive,HARD,free,90.9,"Array, Hash Table"
253,Meeting Rooms II,MEDIUM,premium,89.0,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
528,Random Pick with Weight,MEDIUM,free,86.9,"Array, Math, Binary Search, Prefix Sum, Randomized"
359,Logger Rate Limiter,EASY,premium,84.5,"Hash Table, Design, Data Stream"
347,Top K Frequent Elements,MEDIUM,free,81.9,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
146,LRU Cache,MEDIUM,free,78.9,"Hash Table, Linked List, Design, Doubly-Linked List"
341,Flatten Nested List Iterator,MEDIUM,free,78.9,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
228,Summary Ranges,EASY,free,71.4,Array
981,Time Based Key-Value Store,MEDIUM,free,71.4,"Hash Table, String, Binary Search, Design"
380,Insert Delete GetRandom O(1),MEDIUM,free,66.4,"Array, Hash Table, Math, Design, Randomized"
739,Daily Temperatures,MEDIUM,free,66.4,"Array, Stack, Monotonic Stack"
54,Spiral Matrix,MEDIUM,free,60.0,"Array, Matrix, Simulation"
121,Best Time to Buy and Sell Stock,EASY,free,60.0,"Array, Dynamic Programming"
215,Kth Largest Element in an Array,MEDIUM,free,60.0,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
332,Reconstruct Itinerary,HARD,free,60.0,"Depth-First Search, Graph, Eulerian Circuit"
692,Top K Frequent Words,MEDIUM,free,60.0,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
3,Longest Substring Without Repeating Characters,MEDIUM,free,51.0,"Hash Table, String, Sliding Window"
33,Search in Rotated Sorted Array,MEDIUM,free,51.0,"Array, Binary Search"
48,Rotate Image,MEDIUM,free,51.0,"Array, Math, Matrix"
68,Text Justification,HARD,free,51.0,"Array, String, Simulation"
88,Merge Sorted Array,EASY,free,51.0,"Array, Two Pointers, Sorting"
189,Rotate Array,MEDIUM,free,51.0,"Array, Math, Two Pointers"
210,Course Schedule II,MEDIUM,free,51.0,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
219,Contains Duplicate II,EASY,free,51.0,"Array, Hash Table, Sliding Window"
232,Implement Queue using Stacks,EASY,free,51.0,"Stack, Design, Queue"
609,Find Duplicate File in System,MEDIUM,free,51.0,"Array, Hash Table, String"
901,Online Stock Span,MEDIUM,free,51.0,"Stack, Design, Monotonic Stack, Data Stream"
1249,Minimum Remove to Make Valid Parentheses,MEDIUM,free,51.0,"String, Stack"
