id,title,difficulty,free/premium,frequency,tags
207,Course Schedule,MEDIUM,free,100.0,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
1436,Destination City,EASY,free,100.0,"Array, Hash Table, String"
1,Two Sum,EASY,free,97.5,"Array, Hash Table"
3,Longest Substring Without Repeating Characters,MEDIUM,free,97.5,"Hash Table, String, Sliding Window"
14,Longest Common Prefix,EASY,free,97.5,"String, Trie"
49,Group Anagrams,MEDIUM,free,97.5,"Array, Hash Table, String, Sorting"
56,Merge Intervals,MEDIUM,free,97.5,"Array, Sorting"
126,Word Ladder II,HARD,free,97.5,"Hash Table, String, Backtracking, Breadth-First Search"
127,Word Ladder,HARD,free,97.5,"Hash Table, String, Breadth-First Search"
151,Reverse Words in a String,MEDIUM,free,97.5,"Two Pointers, String"
206,Reverse Linked List,EASY,free,97.5,"Linked List, Recursion"
218,The Skyline Problem,HARD,free,97.5,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
242,Valid Anagram,EASY,free,97.5,"Hash Table, String, Sorting"
347,Top K Frequent Elements,MEDIUM,free,97.5,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
380,Insert Delete GetRandom O(1),MEDIUM,free,97.5,"Array, Hash Table, Math, Design, Randomized"
381,Insert Delete GetRandom O(1) - Duplicates allowed,HARD,free,97.5,"Array, Hash Table, Math, Design, Randomized"
394,Decode String,MEDIUM,free,97.5,"String, Stack, Recursion"
443,String Compression,MEDIUM,free,97.5,"Two Pointers, String"
564,Find the Closest Palindrome,HARD,free,97.5,"Math, String"
599,Minimum Index Sum of Two Lists,EASY,free,97.5,"Array, Hash Table, String"
692,Top K Frequent Words,MEDIUM,free,97.5,"Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
784,Letter Case Permutation,MEDIUM,free,97.5,"String, Backtracking, Bit Manipulation"
1126,Active Businesses,MEDIUM,premium,97.5,Database
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",MEDIUM,free,97.5,"Array, Sorting"
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,EASY,free,97.5,"Two Pointers, String, String Matching"
528,Random Pick with Weight,MEDIUM,free,79.6,"Array, Math, Binary Search, Prefix Sum, Randomized"
2696,Minimum String Length After Removing Substrings,EASY,free,56.0,"String, Stack, Simulation"
2904,Shortest and Lexicographically Smallest Beautiful String,MEDIUM,free,56.0,"String, Sliding Window"
